                                                              
Epoch 01 | train loss 2.2954 acc 0.2609 | test loss 1.6602 acc 0.3772 | 0.10 min
Epoch 02 | train loss 1.5774 acc 0.4146 | test loss 1.3920 acc 0.4890 | 0.10 min
Epoch 03 | train loss 1.3653 acc 0.5015 | test loss 1.2159 acc 0.5611 | 0.11 min
Epoch 04 | train loss 1.1877 acc 0.5741 | test loss 1.2381 acc 0.5603 | 0.09 min
Epoch 05 | train loss 1.0499 acc 0.6268 | test loss 1.0248 acc 0.6372 | 0.10 min
Epoch 06 | train loss 0.9690 acc 0.6591 | test loss 0.9519 acc 0.6739 | 0.11 min
Epoch 07 | train loss 0.9029 acc 0.6847 | test loss 1.0633 acc 0.6477 | 0.10 min
Epoch 08 | train loss 0.8528 acc 0.7046 | test loss 0.9086 acc 0.6796 | 0.10 min
Epoch 09 | train loss 0.8173 acc 0.7144 | test loss 0.7935 acc 0.7262 | 0.09 min
Epoch 10 | train loss 0.7790 acc 0.7309 | test loss 0.8277 acc 0.7197 | 0.11 min
Epoch 11 | train loss 0.7458 acc 0.7400 | test loss 0.7704 acc 0.7341 | 0.10 min
Epoch 12 | train loss 0.7121 acc 0.7545 | test loss 0.7835 acc 0.7299 | 0.09 min
Epoch 13 | train loss 0.6936 acc 0.7606 | test loss 0.7435 acc 0.7490 | 0.10 min
Epoch 14 | train loss 0.6648 acc 0.7679 | test loss 0.7197 acc 0.7559 | 0.10 min
Epoch 15 | train loss 0.6348 acc 0.7807 | test loss 0.6998 acc 0.7563 | 0.10 min
Epoch 16 | train loss 0.6109 acc 0.7890 | test loss 0.6468 acc 0.7723 | 0.10 min
Epoch 17 | train loss 0.5908 acc 0.7957 | test loss 0.6818 acc 0.7645 | 0.11 min
Epoch 18 | train loss 0.5627 acc 0.8057 | test loss 0.5909 acc 0.7958 | 0.09 min
Epoch 19 | train loss 0.5355 acc 0.8159 | test loss 0.6077 acc 0.7934 | 0.09 min
Epoch 20 | train loss 0.5105 acc 0.8230 | test loss 0.5650 acc 0.8055 | 0.11 min
Epoch 21 | train loss 0.4759 acc 0.8360 | test loss 0.5685 acc 0.8040 | 0.10 min
Epoch 22 | train loss 0.4459 acc 0.8434 | test loss 0.5460 acc 0.8155 | 0.10 min
Epoch 23 | train loss 0.4188 acc 0.8553 | test loss 0.5119 acc 0.8262 | 0.11 min
Epoch 24 | train loss 0.3858 acc 0.8662 | test loss 0.5169 acc 0.8296 | 0.09 min
Epoch 25 | train loss 0.3538 acc 0.8774 | test loss 0.4878 acc 0.8394 | 0.09 min
Epoch 26 | train loss 0.3274 acc 0.8882 | test loss 0.4706 acc 0.8445 | 0.11 min
Epoch 27 | train loss 0.2985 acc 0.8967 | test loss 0.4555 acc 0.8501 | 0.10 min
Epoch 28 | train loss 0.2773 acc 0.9045 | test loss 0.4462 acc 0.8538 | 0.11 min
Epoch 29 | train loss 0.2607 acc 0.9091 | test loss 0.4443 acc 0.8583 | 0.11 min
Epoch 30 | train loss 0.2511 acc 0.9142 | test loss 0.4420 acc 0.8567 | 0.11 min
